dish_id,ingredient_id,name,grams,calories,fat,carbohydrates,protein
dish_1561662216,508,soy sauce,3.398568,1.80124104,0.020391408,0.166529832,0.275284008
dish_1561662216,122,garlic,2.124105,3.16491645,0.010620525,0.70095465,0.13594272
dish_1561662216,26,white rice,8.496420,11.045346,0.02548926,2.3789976,0.22940334
dish_1561662216,524,parsley,0.213397,0.079170287,0.001707176,0.013657408,0.006188513
dish_1561662216,94,onions,1.70173,0.6828692,0.001707173,0.15364557,0.018778903
dish_1561662216,23,brown rice,68.000000,75.48,0.612,15.64,1.768
dish_1561662216,189,vinegar,0.853586,0.0,0.0,0.0,0.0
dish_1561662216,54,apple,4.267931,2.21932412,0.008535862,0.59751034,0.012803793
dish_1561662216,29,mixed greens,21.339657,5.97510396,0.085358628,1.131001821,0.469472454
dish_1561662216,328,sugar,6.372315,24.7245822,0.0,6.372315,0.0
dish_1561662216,291,salt,0.531519,0.0,0.0,0.0,0.0
dish_1561662216,520,lemon juice,0.853586,0.14510962,0.0,0.047800816,0.003414344
dish_1561662216,161,olive oil,3.243628,28.67367152,3.243628,0.0,0.0
dish_1561662216,462,pork,59.474941,141.55035958,8.32649174,0.0,15.46348466
dish_1561662216,525,bok choy,8.496420,1.1045346,0.01699284,0.18692124,0.1274463
dish_1561662216,312,pepper,0.212411,0.0849644,0.000424822,0.019754223,0.00424822
dish_1561662216,513,millet,3.414345,4.06307055,0.03414345,0.809199765,0.119502075
dish_1561662054,312,pepper,0.300716,0.1202864,0.000601432,0.027966588,0.00601432
dish_1561662054,26,white rice,12.028640,15.637232,0.03608592,3.3680192,0.32477328
dish_1561662054,29,mixed greens,75.281570,21.0788396,0.30112628,3.98992321,1.65619454
dish_1561662054,122,garlic,3.007160,4.4806684,0.0150358,0.9923628,0.19245824
dish_1561662054,508,soy sauce,4.811456,2.55007168,0.028868736,0.235761344,0.389727936
dish_1561662054,513,millet,12.045051,14.33361069,0.12045051,2.854677087,0.421576785
dish_1561662054,520,lemon juice,3.011263,0.51191471,0.0,0.168630728,0.012045052
dish_1561662054,525,bok choy,12.028640,1.5637232,0.02405728,0.26463008,0.1804296
dish_1561662054,161,olive oil,11.442798,101.15433432,11.442798,0.0,0.0
dish_1561662054,94,onions,6.022525,2.40901,0.006022525,0.54202725,0.066247775
dish_1561662054,189,vinegar,3.011263,0.0,0.0,0.0,0.0
dish_1561662054,43,green beans,39.000000,12.09,0.039,2.73,0.702
dish_1561662054,462,pork,84.200478,200.39713764,11.78806692,0.0,21.89212428
dish_1561662054,54,apple,15.056313,7.82928276,0.030112626,2.10788382,0.045168939
dish_1561662054,328,sugar,9.021480,35.0033424,0.0,9.02148,0.0
dish_1561662054,291,salt,0.977840,0.0,0.0,0.0,0.0
dish_1561662054,524,parsley,0.752816,0.279294736,0.006022528,0.048180224,0.021831664
dish_1562008979,448,jalapenos,0.192961,0.05595869,0.000771844,0.012542465,0.001736649
dish_1562008979,520,lemon juice,1.543689,0.26242713,0.0,0.086446584,0.006174756
dish_1562008979,462,pork,115.776695,275.5485341,16.2087373,0.0,30.1019407
dish_1562008979,514,wheat berry,15.436893,14.04757263,0.077184465,2.948446563,0.648349506
dish_1562008979,152,cabbage,15.436893,3.24174753,0.077184465,0.493980576,0.200679609
dish_1562008979,312,pepper,0.385922,0.1543688,0.000771844,0.035890746,0.00771844
dish_1562008979,291,salt,0.192961,0.0,0.0,0.0,0.0
dish_1562008979,45,carrot,3.859223,1.58228143,0.007718446,0.3859223,0.034733007
dish_1562008979,122,garlic,1.543689,2.30009661,0.007718445,0.50941737,0.098796096
dish_1562008979,6,caesar salad,131.000000,57.64,2.751,5.633,4.192
dish_1562008979,161,olive oil,0.771845,6.8231098,0.771845,0.0,0.0
dish_1562008979,524,parsley,0.771845,0.286354495,0.00617476,0.04939808,0.022383505
dish_1562008979,116,mayonnaise,3.087379,20.9941772,2.31553425,0.018524274,0.03087379
dish_1560455030,471,cherry tomatoes,55.000000,9.9,0.11,2.145,0.495
dish_1560455030,31,cucumbers,29.000000,2.9,0.0,0.58,0.29
dish_1560455030,347,baby carrots,19.000000,7.79,0.038,1.9,0.171
dish_1558372433,453,deprecated,143.000000,74.36,0.286,0.429,20.02
dish_1565640549,32,tomatoes,10.700637,3.63821658,0.074904459,0.727643316,0.074904459
dish_1565640549,523,cilantro,1.070064,0.243974592,0.00535032,0.039592368,0.023541408
dish_1565640549,161,olive oil,1.070064,9.45936576,1.070064,0.0,0.0
dish_1565640549,526,mustard greens,21.401274,5.77834398,0.085605096,1.005859878,0.620636946
dish_1565640549,520,lemon juice,1.605096,0.27286632,0.0,0.089885376,0.006420384
dish_1565640549,94,onions,2.140127,0.8560508,0.002140127,0.19261143,0.023541397
dish_1565640549,31,cucumbers,10.700637,1.0700637,0.0,0.21401274,0.10700637
dish_1565640549,291,salt,0.133758,0.0,0.0,0.0,0.0
dish_1565640549,515,arugula,32.101910,8.0254775,0.22471337,1.18777067,0.83464966
dish_1565640549,448,jalapenos,1.070064,0.31031856,0.004280256,0.06955416,0.009630576
dish_1565640549,14,asparagus,34.000000,6.936,0.034,1.326,0.748
dish_1565640549,367,lime,1.605096,0.4815288,0.003210192,0.16853508,0.011235672
dish_1565640549,349,mangos,10.700637,6.484586022,0.042802548,1.60509555,0.085605096
dish_1565640549,471,cherry tomatoes,10.700637,1.92611466,0.021401274,0.417324843,0.096305733
dish_1563207364,8,scrambled eggs,68.000000,100.64,7.48,1.088,6.8
dish_1563207364,192,yam,50.000000,62.05,0.1,14.7,0.8
dish_1563207364,440,grapes,30.000000,20.7,0.06,5.4,0.21
dish_1563207364,128,egg whites,67.000000,34.84,0.134,0.469,6.7
dish_1563207364,161,olive oil,6.000000,53.04,6.0,0.0,0.0
dish_1563207364,437,sweet potato,50.000000,38.0,0.0,9.0,0.5
dish_1561575474,291,salt,0.578431,0.0,0.0,0.0,0.0
dish_1561575474,335,eggplant,57.843136,14.345097728,0.115686272,3.412745024,0.57843136
dish_1561575474,433,roasted potatoes,60.000000,84.6,4.08,10.8,1.26
dish_1561575474,7,cauliflower,64.000000,16.0,0.192,3.2,1.152
dish_1561575474,161,olive oil,0.578431,5.11333004,0.578431,0.0,0.0
dish_1563216717,122,garlic,0.895277,1.33396273,0.004476385,0.29544141,0.057297728
dish_1563216717,21,squash,63.131935,12.942046675,0.189395805,2.14648579,0.568187415
dish_1563216717,471,cherry tomatoes,4.476386,0.80574948,0.008952772,0.174579054,0.040287474
dish_1563216717,244,chicken breast,89.527718,147.899790136,3.222997848,0.0,27.843120298
dish_1563216717,36,spinach (raw),2.238193,0.51478439,0.008952772,0.080574948,0.064907597
dish_1563216717,148,parmesan cheese,2.238193,9.639897251,0.640123198,0.094004106,0.859466112
dish_1563216717,514,wheat berry,8.952772,8.14702252,0.04476386,1.709979452,0.376016424
dish_1563216717,161,olive oil,0.967048,8.54870432,0.967048,0.0,0.0
dish_1563216717,518,thyme,0.223819,0.22605719,0.003804923,0.05371656,0.01342914
dish_1563216717,112,honeydew melons,30.000000,10.8,0.03,2.7,0.15
dish_1563216717,291,salt,0.348654,0.0,0.0,0.0,0.0
dish_1563216717,27,broccoli,129.000000,45.15,0.516,9.03,3.096
dish_1565972591,510,chicken apple sausage,122.000000,195.2,12.2,3.66,17.08
dish_1568649312,13,berries,78.000000,44.46,0.234,10.92,0.546
dish_1562183096,312,pepper,0.015072,0.0060288,3.0144e-05,0.001401696,0.00030144
dish_1562183096,517,chard,2.411454,0.45817626,0.004822908,0.089223798,0.043406172
dish_1562183096,201,blueberries,0.964582,0.551740904,0.002893746,0.138899808,0.006752074
dish_1562183096,46,mushroom,75.000000,16.5,0.225,2.475,2.325
dish_1562183096,189,vinegar,0.452148,0.0,0.0,0.0,0.0
dish_1562183096,515,arugula,13.504145,3.37603625,0.094529015,0.499653365,0.35110777
dish_1562183096,126,mustard,0.150716,0.092388908,0.004973628,0.00904296,0.005576492
dish_1562183096,161,olive oil,1.929163,17.05380092,1.929163,0.0,0.0
dish_1562183096,124,walnuts,0.482291,3.150807103,0.309630822,0.067038449,0.072825941
dish_1562183096,291,salt,0.090430,0.0,0.0,0.0,0.0
